# theta	secondary_gap1	secondary_gap2	secondary_gap3	secondary_gap4
0.000000	16.935000	18.680000	18.813000	18.748000
0.100000	16.765000	18.600000	18.710000	18.829000
0.200000	16.218000	18.223000	18.284000	18.712000
0.300000	15.542000	17.312000	17.324000	18.324000
0.396000	14.214000	14.865000	14.862000	17.886000
0.500000	14.768000	13.746000	13.234000	17.537000
0.558000	13.459000	12.365000	11.719000	16.831000
0.769000	8.413000	6.596000	5.723000	12.778000
0.915000	4.454000	1.813000	0.877000	8.574000
1.381000	-1.000000	-1.000000	-1.000000	-1.000000
1.530000	-1.000000	-1.000000	-1.000000	-1.000000
2.060000	-1.000000	-1.000000	-1.000000	-1.000000
2.558000	-1.000000	-1.000000	-1.000000	-1.000000
3.071000	-1.000000	-1.000000	-1.000000	-1.000000
4.000000	-1.000000	-1.000000	-1.000000	-1.000000
