# theta  TB_PGap_Rigid  TB_SGap_Rigid  TAPW_Rigid  TB_PGap_FixBN  TB_SGap_FixBN  TAPW_FixBN  TB_PGap_Substrate  TB_SGap_Substrate  TAPW_Substrate  TB_PGap_FullRelaxed  TB_SGap_FullRelaxed  TAPW_FullRelaxed
0.00000000 0.64600000 16.93500000 2.16400000 11.66100000 18.68000000 8.25500000 15.03500000 18.81300000 11.50100000 26.78900000 18.74800000 18.63800000
0.10000000 0.65100000 16.76500000 2.16100000 11.82200000 18.60000000 8.34200000 15.23100000 18.71000000 11.63200000 27.02300000 18.82900000 18.84400000
0.20000000 0.66800000 16.21800000 2.17300000 12.05500000 18.22300000 8.36500000 15.45200000 18.28400000 11.68200000 27.14600000 18.71200000 18.68500000
0.30000000 0.68500000 15.54200000 2.20800000 12.34500000 17.31200000 8.40200000 15.68500000 17.32400000 11.70500000 27.26500000 18.32400000 18.34500000
0.39600000 0.69300000 14.21400000 2.24700000 12.62400000 14.86500000 8.44800000 15.91200000 14.86200000 11.69800000 27.31500000 17.88600000 17.98800000
0.50000000 0.69600000 14.76800000 2.23400000 12.61900000 13.74600000 8.41400000 15.90100000 13.23400000 11.72100000 26.94700000 17.53700000 17.85100000
0.55800000 0.69100000 13.45900000 2.26000000 12.73000000 12.36500000 8.68900000 15.98400000 11.71900000 11.50900000 26.92700000 16.83100000 17.57700000
0.76900000 0.57000000 8.41300000 2.23100000 12.54700000 6.59600000 8.40500000 15.72700000 5.72300000 11.46900000 26.04400000 12.77800000 17.21100000
0.91500000 0.53200000 4.45400000 2.19900000 12.15400000 1.81300000 8.27200000 15.25700000 0.87700000 10.96600000 24.87600000 8.57400000 16.34700000
1.38100000 0.43500000 -1.00000000 2.28100000 10.56000000 -1.00000000 7.56600000 13.27700000 -1.00000000 9.78600000 21.04000000 -1.00000000 13.08400000
1.53000000 0.46100000 -1.00000000 2.23200000 10.07800000 -1.00000000 7.21000000 12.61900000 -1.00000000 9.30000000 19.75700000 -1.00000000 12.50600000
2.06000000 0.32500000 -1.00000000 2.22800000 8.85200000 -1.00000000 6.58200000 11.02500000 -1.00000000 8.05200000 15.28500000 -1.00000000 9.68200000
2.55800000 0.27600000 -1.00000000 2.22600000 7.62600000 -1.00000000 5.73600000 9.05100000 -1.00000000 6.88900000 11.02500000 -1.00000000 7.78000000
3.07100000 0.19800000 -1.00000000 2.15200000 6.45200000 -1.00000000 4.98500000 7.25200000 -1.00000000 5.65200000 9.28500000 -1.00000000 6.24500000
4.00000000 0.13200000 -1.00000000 2.05200000 6.01500000 -1.00000000 4.52500000 6.52500000 -1.00000000 5.21500000 7.55600000 -1.00000000 6.12500000
