Angle(deg)	FinalEnergy(eV)	NumAtoms	LatticeParam(Å)	RigidEnergy(eV)
0.097491	-2332201.0630321	329864	2.505759	-2331672.94947642
0.143719	-2226584.9581006	314926	2.505759	-2226082.39203348
0.196871	-1055110.668826	149234	2.505759	-1054873.77358862
0.245434	-2230213.28928645	315440	2.505764	-2229715.81848284
0.290227	-2185837.27277523	309164	2.505757	-2185353.10666071
0.359920	-2105740.10038486	297836	2.505756	-2105280.08917252
0.607013	-1008100.15895605	142588	2.505758	-1007895.92939678
0.607013	-1008100.15895605	142588	2.505758	-1007895.92939678
0.747089	-390755.549950223	55270	2.505757	-390680.89818756
0.952807	-599520.028403035	84800	2.505764	-599416.401736225
