Angle(deg)	FinalEnergy(eV)	NumAtoms	LatticeParam(Å)	RigidEnergy(eV)
0.0	         -83993.1265259625	11882	2.505759	-83988.9715669064
0.097491	-2331788.57925331	329864	2.505759	-2331672.94947641
0.143719	-2226193.08319416	314926	2.505759	-2226082.39203348
0.196871	-1054926.44058513	149234	2.505759	-1054873.77358862
0.245434	-2229827.61758741	315440	2.505764	-2229715.81848284
0.290227	-2185463.16369299	309164	2.505757	-2185353.10666071
0.359920	-2105386.82620126	297836	2.505756	-2105280.08917252
0.404677	-2267845.92918536	320818	2.505759	-2267730.50288757
0.457621	-2189465.73251768	309730	2.505754	-2189353.82791999
0.508530	-612609.454247161	86662	2.505759	-612578.047731265
0.546119	-2050519.14407651	290074	2.505759	-2050413.84022499
0.607013	-1007947.77360619	142588	2.505758	-1007895.92939678
0.607013	-1007947.77360619	142588	2.505758	-1007895.92939678
0.658871	-1145863.05725654	162098	2.505759	-1145804.11629354
0.702503	-1626028.59015987	230024	2.505756	-1625945.01887077
0.747089	-390700.943716383	55270	2.505757	-390680.89818756
0.809345	-2267931.23445598	320830	2.505757	-2267815.31467902
0.858906	-2870672.2160258	406096	2.505767	-2870526.10965997
0.900809	-1017277.99394846	143908	2.505754	-1017226.42414799
0.952807	-599446.605737403	84800	2.505764	-599416.401736225
0.614189	NA	NA	2.505736	NA
1.005685	-1622859.61190932	229576	2.505759	-1622778.39597795
1.047478	-2824169.09173428	399518	2.505759	-2824028.59368949
1.107157	-756715.631206767	107048	2.505759	-756678.328045774
1.157747	-721229.304998734	102028	2.505761	-721194.044492082
1.195178	-1795339.3194763	253976	2.505762	-1795252.10331415
1.249098	-870722.478196098	123176	2.505761	-870680.577056026
1.295565	-1434186.14970539	202886	2.505755	-1434117.70572817
1.342983	-2521541.50544582	356708	2.505755	-2521422.21335054
1.396072	-2310066.77490248	326792	2.505762	-2309958.56638542
1.443239	-553298.306258078	78272	2.505757	-553272.61576011
1.502665	-2180788.23101758	308504	2.505758	-2180688.0975528
1.546276	-1035595.57883618	146500	2.505762	-1035548.41608216
1.598958	-1546549.91716379	218782	2.505759	-1546480.17106139
1.640106	-1174032.43640008	166084	2.505772	-1173979.8940596
1.696606	-2959792.03286575	418706	2.505759	-2959660.92145637
1.752095	-466999.774194736	66064	2.505756	-466979.29213676
1.807861	-1974201.5224318	279280	2.505760	-1974115.7843585
1.850269	-1558040.98105218	220408	2.505761	-1557973.81167629
1.892158	-970954.781772349	137356	2.505758	-970913.219364545
1.892158	-970954.781772349	137356	2.505758	-970913.219364545
1.941146	-2076571.40403526	293762	2.505762	-2076483.23983296
1.892158	NA	NA	2.505758	NA
2.001511	-2670328.50663411	377758	2.505754	-2670216.24003188
