Angle(deg)	FinalEnergy(eV)	NumAtoms	LatticeParam(Å)	RigidEnergy(eV)	CellInfoAngle(deg)
0.0	-84008.0463720148	11882	2.505759	-83988.9715669064	0.000000
0.1	-2332201.06303209	329864	2.505759	-2331672.94947642	0.097491
0.2	-1055110.66882599	149234	2.505759	-1054873.77358862	0.196871
0.3	-2185837.27277522	309164	2.505757	-2185353.10666069	0.290227
0.4	NA	NA	2.505759	NA	0.404677
0.05	-1589958.96314713	224882	2.505760	-1589598.39753077	0.065323
0.5	-612706.56158752	86662	2.505759	-612578.047731278	0.508530
0.6	-830813.433986172	117512	2.505759	-830644.014851768	0.589573
0.7	-1606153.04780976	227180	2.505758	-1605842.00622443	0.716542
0.8	NA	NA	2.505757	NA	0.809345
0.9	NA	NA	2.505754	NA	0.900809
0.15	-2226584.95810059	314926	2.505759	-2226082.39203351	0.143719
0.25	NA	NA	2.505754	NA	0.269570
0.35	-2326879.38641633	329114	2.505757	-2326371.4510508	0.363111
0.45	NA	NA	2.505754	NA	0.457621
0.55	-2050838.62990514	290074	2.505759	-2050413.84022492	0.546119
0.65	-1146031.55479972	162098	2.505759	-1145804.11629355	0.658871
0.75	-390755.549950223	55270	2.505757	-390680.89818756	0.747089
0.85	-1849509.83984922	261604	2.505762	-1849171.25182152	0.837773
0.95	NA	NA	2.505764	NA	0.952807
1.0	-1623051.43278784	229576	2.505759	-1622778.39597792	1.005685
1.1	-1266981.01685525	179212	2.505759	-1266775.99365572	1.080064
1.2	NA	403552	2.505759	NA	1.210684
1.3	-293600.474451784	41530	2.505762	-293558.528920159	1.319386
1.4	NA	NA	2.505762	NA	1.396072
1.05	NA	399518	2.505759	NA	1.047478
1.5	NA	289426	2.505758	NA	1.515974
1.6	NA	218782	2.505759	NA	1.598958
1.7	NA	418706	2.505759	NA	1.696606
1.8	NA	NA	2.505760	NA	1.807861
1.9	NA	NA	2.505758	NA	1.915744
1.15	-818445.442800523	115768	2.505759	-818316.431577833	1.130086
1.25	-870809.5667227	123176	2.505761	-870680.577056023	1.249098
1.35	-610331.934424798	86332	2.505761	-610245.474157732	1.336073
1.45	-553346.928781057	78272	2.505757	-553272.615760108	1.443239
1.55	NA	NA	2.505758	NA	1.539319
1.65	NA	NA	2.505759	NA	1.636938
1.75	NA	394726	2.505759	NA	1.766501
1.85	NA	NA	2.505758	NA	1.860665
1.95	NA	NA	2.505762	NA	1.941146
2.0	NA	NA	2.505760	NA	2.015168
2.1	NA	NA	2.505759	NA	2.114139
2.2	NA	NA	2.505758	NA	2.202382
2.3	NA	NA	2.505761	NA	2.302804
2.4	NA	NA	2.505758	NA	2.407301
2.05	NA	NA	2.505758	NA	2.045445
2.5	NA	NA	2.505758	NA	2.508670
2.6	NA	NA	2.505759	NA	2.608263
2.7	NA	NA	2.505759	NA	2.700240
2.8	NA	NA	2.505764	NA	2.796664
2.9	NA	NA	2.505759	NA	2.913803
2.15	NA	NA	2.505758	NA	2.158292
2.25	NA	NA	2.505760	NA	2.256631
2.35	NA	NA	2.505756	NA	2.361598
2.45	NA	NA	2.505759	NA	2.438580
3.0	NA	NA	2.505755	NA	3.013631
3.1	NA	NA	2.505756	NA	3.105912
3.2	NA	NA	2.505755	NA	3.204889
