Angle(deg)	FinalEnergy(eV)	NumAtoms	LatticeParam(Å)	RigidEnergy(eV)	CellInfoAngle(deg)
0.0	NA	NA	2.505759	NA	0.000000
0.1	NA	NA	2.505759	NA	0.097491
0.2	NA	NA	2.505759	NA	0.196871
0.3	NA	NA	2.505757	NA	0.290227
0.4	NA	NA	2.505759	NA	0.404677
0.05	NA	NA	2.505760	NA	0.065323
0.5	NA	NA	2.505759	NA	0.508530
0.6	NA	NA	2.505759	NA	0.589573
0.7	NA	NA	2.505758	NA	0.716542
0.8	NA	NA	2.505757	NA	0.809345
0.9	NA	NA	2.505754	NA	0.900809
0.15	NA	NA	2.505759	NA	0.143719
0.25	NA	NA	2.505754	NA	0.269570
0.35	NA	NA	2.505757	NA	0.363111
0.45	NA	NA	2.505754	NA	0.457621
0.55	NA	NA	2.505759	NA	0.546119
0.65	NA	NA	2.505759	NA	0.658871
0.75	NA	NA	2.505757	NA	0.747089
0.85	NA	NA	2.505762	NA	0.837773
0.95	NA	NA	2.505764	NA	0.952807
1.0	NA	NA	2.505759	NA	1.005685
1.1	NA	NA	2.505759	NA	1.080064
1.2	NA	NA	2.505759	NA	1.210684
1.3	NA	NA	2.505762	NA	1.319386
1.4	NA	NA	2.505762	NA	1.396072
1.05	NA	NA	2.505759	NA	1.047478
1.5	NA	NA	2.505758	NA	1.515974
1.6	NA	NA	2.505759	NA	1.598958
1.7	NA	NA	2.505759	NA	1.696606
1.8	NA	NA	2.505760	NA	1.807861
1.9	NA	NA	2.505758	NA	1.915744
1.15	NA	NA	2.505759	NA	1.130086
1.25	NA	NA	2.505761	NA	1.249098
1.35	NA	NA	2.505761	NA	1.336073
1.45	NA	NA	2.505757	NA	1.443239
1.55	NA	NA	2.505758	NA	1.539319
1.65	NA	NA	2.505759	NA	1.636938
1.75	NA	NA	2.505759	NA	1.766501
1.85	NA	NA	2.505758	NA	1.860665
1.95	NA	NA	2.505762	NA	1.941146
2.0	NA	NA	2.505760	NA	2.015168
2.1	NA	NA	2.505759	NA	2.114139
2.2	NA	NA	2.505758	NA	2.202382
2.3	NA	NA	2.505761	NA	2.302804
2.4	NA	NA	2.505758	NA	2.407301
2.05	NA	NA	2.505758	NA	2.045445
2.5	NA	NA	2.505758	NA	2.508670
2.6	NA	NA	2.505759	NA	2.608263
2.7	NA	NA	2.505759	NA	2.700240
2.8	NA	NA	2.505764	NA	2.796664
2.9	NA	NA	2.505759	NA	2.913803
2.15	NA	NA	2.505758	NA	2.158292
2.25	NA	NA	2.505760	NA	2.256631
2.35	NA	NA	2.505756	NA	2.361598
2.45	NA	NA	2.505759	NA	2.438580
3.0	NA	NA	2.505755	NA	3.013631
3.1	NA	NA	2.505756	NA	3.105912
3.2	NA	NA	2.505755	NA	3.204889
