-189.747848852 -110.126834323  0.1175559598751845
-187.847995852 -108.56377932299999  0.16005761695281112 0.12210146731493238 0.08421620958013645
-185.94814285200002 -107.00072332299999  0.17775188009501677 0.12527188650314738 0.05704771947756925
-184.048288852 -105.437668323  0.19239019326033552 0.1268626850050703 0.03067730194700652
-182.148435852 -103.87461332299999  0.2033291160810274 0.12674198723409977 0.005315530957466961
-180.248582852 -102.311558323  0.21035025410336392 0.12484558829241242 -0.01893293401688663
-178.348728852 -100.748503323  0.21326351891309575 0.12117131630605026 -0.04192749137968724
-176.44887585200001 -99.18544832299999  0.21193280701281023 0.11575337838664491 -0.06346144463239829
-174.549022852 -97.622393323  0.20639949263897245 0.10873608949150666 -0.0835324789313329
-172.649168852 -96.059337323  0.19681509149673726 0.1002159239525868 -0.10207655334814379
-170.749315852 -94.496282323  0.18322874569981865 0.09023837179570468 -0.1188379607058092
-168.84946285200002 -92.933227323  0.16578283137365507 0.07893762975489169 -0.13390555342672703
-166.949608852 -91.37017232299999  0.14480660059734293 0.06644385022414845 -0.147185856872855
-165.049755852 -89.807117323  0.12048604255744014 0.052927755107836184 -0.15854094446403505
-163.149902852 -88.244061323  0.09321192821698311 0.03855323406065184 -0.16807693337434973
-161.25004985200002 -86.68100632299999  0.06362474663959514 0.023539814071635436 -0.17573421229119282
-159.350195852 -85.117951323  0.03231817175271932 0.00812231607911878 -0.18160054399321193
-157.450342852 -83.554896323  -7.93550340168379e-05 -0.007472560138148965 -0.18572092578043284
-155.550489852 -81.99184132299999  -0.032658754306027556 -0.023011480888512122 -0.18829194582159398
-153.65063585200002 -80.428786323  -0.06461774220999007 -0.038331794483175384 -0.1894724969359146
-151.75078285200001 -78.86573132299999  -0.0952655349280657 -0.05313382793955793 -0.18935089785168602
-149.850929852 -77.30267532299999  -0.12397164777403855 -0.06726412288474902 -0.1882436935936063
-147.951075852 -75.739620323  -0.15000867087691186 -0.08067002714093968 -0.1862791281899304
-146.051222852 -74.17656532299999  -0.1730279747132315 -0.09319953481904904 -0.18363547806204059
-144.15136985200002 -72.61351032299999  -0.19259609862563837 -0.10483995694728779 -0.180546795816591
-142.251516852 -71.050455323  -0.20819738170492716 -0.11565613230026574 -0.17709297849100974
-140.351662852 -69.487400323  -0.21958900195739062 -0.12563785404421024 -0.17336958437449418
-138.451809852 -67.92434432299999  -0.22677494661154374 -0.1348657788934021 -0.1693529642953948
-136.55195685200002 -66.361289323  -0.22950516488143885 -0.14349066986959702 -0.16509436013153614
-134.652102852 -64.798234323  -0.22776196776399663 -0.15152976221769185 -0.16069889198992748
-132.752249852 -63.235179323  -0.22165172501596359 -0.1589830012580098 -0.15608074260045177
-130.852396852 -61.67212432299999  -0.21125758235682793 -0.16585621875441742 -0.1513784850880319
-128.95254285200002 -60.109068322999995  -0.19660584949659382 -0.17211812908963303 -0.14667057431952557
-127.05268985200001 -58.546013323  -0.17792743716371212 -0.17764654892895737 -0.14184613535037144
-125.15283685200001 -56.98295832299999  -0.15544648974247965 -0.1822065271650742 -0.13714445187405164
-123.252982852 -55.41990332299999  -0.12924774612009865 -0.18557663382362657 -0.13261536500934137
-121.353129852 -53.856848322999994  -0.09973430706654386 -0.18760026430752103 -0.12818150865975608
-119.45327685200002 -52.293793322999996  -0.06729127749173439 -0.18826414428714347 -0.12393824245917914
-117.55342385200001 -50.730738323  -0.032321228762897974 -0.18746910418351936 -0.11985869503664986
-115.653569852 -49.167682322999994  0.004537700428930317 -0.18527240418549348 -0.11593843484143489
-113.753716852 -47.604627322999995  0.04251517893292223 -0.1818831295559945 -0.1120295520812224
-111.85386385200002 -46.041572323  0.08092975836079754 -0.1774669117020262 -0.10809502949025859
-109.95400985200001 -44.47851732299999  0.11894324792961733 -0.17229943769546063 -0.10398515179786567
-108.054156852 -42.915462323  0.15558172741834525 -0.16671111014020412 -0.0994189017728416
-106.154303852 -41.352406323  0.19010749361182183 -0.1610664386572277 -0.09431126090971766
-104.254449852 -39.78935132299999  0.22179874509566855 -0.1557530278980658 -0.08840864557785375
-102.35459685200001 -38.226296323  0.24988715875791082 -0.15111636060429848 -0.08143433334048708
-100.45474385200001 -36.663241322999994  0.2738865880349425 -0.14749589460988546 -0.07339003752738223
-98.554890852 -35.10018632299999  0.29353767524300556 -0.14513162646934463 -0.06412702377627517
-96.655036852 -33.537131323  0.30867076839457 -0.14422308705229234 -0.05361410683192099
-94.75518385200002 -31.97407632299999  0.31916256536572807 -0.1447526861667856 -0.041883099764239706
-92.85533085200001 -30.41102032299999  0.3251748832889852 -0.14669103603129452 -0.029050920625685994
-90.955476852 -28.847965322999997  0.32696395375488446 -0.15003521835356254 -0.015195164375323355
-89.055623852 -27.28491032299999  0.32468321679070805 -0.15463392143681198 -0.0004293921274294333
-87.15577085200002 -25.721855323  0.3187249718893719 -0.16036500903309625 0.015052732429688999
-85.25591685200001 -24.158800322999994  0.30932327880011223 -0.1671048472324253 0.031130157974844773
-83.356063852 -22.59574532299999  0.29656891063125806 -0.1747359192603221 0.047774030750455755
-81.456210852 -21.032689323  0.2805662414366699 -0.18301265626289853 0.06473395725027355
-79.556356852 -19.469634322999994  0.2614903740151333 -0.1918972331126931 0.08193582935285108
-77.65650385200001 -17.90657932299999  0.23929084517158947 -0.20115798882077884 0.09921568103770262
-75.756650852 -16.343524322999997  0.21409866430583213 -0.21055464580454641 0.11628184632099998
-73.856796852 -14.780469322999991  0.18636941909278532 -0.21965308768295355 0.13281497128654263
-71.956943852 -13.217414323  0.15653684847722826 -0.22790105454844437 0.14850269312149014
-70.05709085200002 -11.654358322999997  0.1253372341903666 -0.23451223917117808 0.1626647712925286
-68.15723685200001 -10.091303322999991  0.09369234698702197 -0.23904733853472934 0.17476448784098375
-66.257383852 -8.528248323  0.062048161750666526 -0.24101334356573914 0.18438372171839598
-64.357530852 -6.965193322999994  0.030895472876656033 -0.2401099166256632 0.19122330516465152
-62.457677851999996 -5.402138322999988  0.0007313267772811048 -0.23613625450655373 0.19498965258099057
-60.55782385199999 -3.839083322999997  -0.028092269071578444 -0.22906204934706462 0.1955554459324954
-58.65797085200001 -2.276027322999994  -0.0553966048957338 -0.21881278031803514 0.1929647261659526
-56.758117852000005 -0.7129723229999883  -0.08081863807392671 -0.20564413959940933 0.18726544252321337
-118.57459485200002 -109.509838323  -0.18971483589139262 0.1785645709258665
-116.67474085200001 -107.94678332299999  -0.12520476308205547 -0.17125520872092723 0.16712307544264204
-114.774887852 -106.383728323  -0.14380542200349652 -0.15050714393167544 0.15322382358819592
-112.875034852 -104.820673323  -0.15960514858920125 -0.12794609091209447 0.1370683710177364
-110.975180852 -103.25761832299999  -0.1722889946428705 -0.10396729696021882 0.1189077625807169
-109.07532785200002 -101.694563323  -0.1816697344369309 -0.07870039117328738 0.09910485665856243
-107.17547485200001 -100.131507323  -0.18750758301370182 -0.05219061494843024 0.077809020692722
-105.275621852 -98.568452323  -0.18951752140569803 -0.02472686724814261 0.055399233324958365
-103.375767852 -97.005397323  -0.1875397405441572 0.003529833362993572 0.03203920620052882
-101.47591485200002 -95.44234232299999  -0.1816024669995078 0.03230730936880917 0.008128767549176076
-99.57606185200001 -93.879287323  -0.1717240706516019 0.06100229448268031 -0.015949978759435855
-97.676207852 -92.316232323  -0.15827946003744967 0.08917152903960335 -0.03979613835965685
