-189.747848852 -110.126834323  0.20073863450728133
-187.847995852 -108.56377932299999  0.22167945727334415 0.22636995820555555 0.11950185377358143
-185.94814285200002 -107.00072332299999  0.2333864251584308 0.23762166661374082 0.06932440974772688
-184.048288852 -105.437668323  0.24754277246459255 0.23363331178320362 0.014601334610642069
-182.148435852 -103.87461332299999  0.26106842801070534 0.21762491703636475 -0.04210362995578513
-180.248582852 -102.311558323  0.26836171431103456 0.19444947683966352 -0.09580380216514855
-178.348728852 -100.748503323  0.2641506411779511 0.16843718863270274 -0.141578495878424
-176.44887585200001 -99.18544832299999  0.2464981928607827 0.14223696751519518 -0.17684117757408047
-174.549022852 -97.622393323  0.2174970283311011 0.11695683940735298 -0.20197610751817177
-172.649168852 -96.059337323  0.1814016067359698 0.09276420269976988 -0.21887871590519506
-170.749315852 -94.496282323  0.14228695102652386 0.06954391032760575 -0.22952358493235556
-168.84946285200002 -92.933227323  0.10316573799667746 0.04730319503233662 -0.2358434532645547
-166.949608852 -91.37017232299999  0.06595611183122412 0.02609929197546731 -0.23907335106125877
-165.049755852 -89.807117323  0.031432218626203406 0.006040692428714295 -0.23998066442412355
-163.149902852 -88.244061323  -0.00011267548109351374 -0.012805590966393643 -0.2392716198393861
-161.25004985200002 -86.68100632299999  -0.028578210261463094 -0.030364773757158726 -0.23727773179622608
-159.350195852 -85.117951323  -0.0541852888135116 -0.04659644808669189 -0.23433576462953146
-157.450342852 -83.554896323  -0.07726835246099122 -0.06148558119862318 -0.2306404129123966
-155.550489852 -81.99184132299999  -0.09794720414474856 -0.07504090222097641 -0.2264536222680042
-153.65063585200002 -80.428786323  -0.11642393430114084 -0.08734009251393818 -0.22194029403296406
-151.75078285200001 -78.86573132299999  -0.13291393763699696 -0.09833727814728954 -0.21715115611536184
-149.850929852 -77.30267532299999  -0.14756436865165112 -0.10812600683521219 -0.21233124645406584
-147.951075852 -75.739620323  -0.16027364879084205 -0.11688192646321645 -0.2075121444577679
-146.051222852 -74.17656532299999  -0.17119006618858032 -0.12466419763469623 -0.202764607669564
-144.15136985200002 -72.61351032299999  -0.18030546303439238 -0.13163144971455046 -0.19822093929470644
-142.251516852 -71.050455323  -0.18751564647477453 -0.13797069927981573 -0.19389268204594218
-140.351662852 -69.487400323  -0.19276437891245293 -0.1437648207546752 -0.18983275218703405
-138.451809852 -67.92434432299999  -0.19615571975590157 -0.14917975477497947 -0.1859732233902806
-136.55195685200002 -66.361289323  -0.1974785243327097 -0.1544566099063344 -0.182310350744046
-134.652102852 -64.798234323  -0.19669062497416961 -0.15971581982094366 -0.17888051061186003
-132.752249852 -63.235179323  -0.19380991182714427 -0.16507645586278533 -0.1755058069617801
-130.852396852 -61.67212432299999  -0.18877685008808204 -0.17067434690144123 -0.1722056298603061
-128.95254285200002 -60.109068322999995  -0.1814312117223774 -0.17659000387938423 -0.16891204759713702
-127.05268985200001 -58.546013323  -0.17177793380684428 -0.18286180604744734 -0.16534933836648924
-125.15283685200001 -56.98295832299999  -0.15977991317790727 -0.18955615322932404 -0.16157895588578997
-123.252982852 -55.41990332299999  -0.14520793737574378 -0.19670572952158474 -0.15746170558143197
-121.353129852 -53.856848322999994  -0.12805162707090628 -0.20429472047466168 -0.1527863255824237
-119.45327685200002 -52.293793322999996  -0.1081527035689957 -0.2123519833084571 -0.14753067133702513
-117.55342385200001 -50.730738323  -0.08522101009466831 -0.22071313682434576 -0.1415559275197129
-115.653569852 -49.167682322999994  -0.059041186886588874 -0.22923708284828548 -0.13479394220784832
-113.753716852 -47.604627322999995  -0.02936782975383528 -0.23778898468028745 -0.12709332969397125
-111.85386385200002 -46.041572323  0.004267721887206968 -0.24602847546156584 -0.11848356899202396
-109.95400985200001 -44.47851732299999  0.04228042916787113 -0.2535508684480518 -0.10896194195158655
-108.054156852 -42.915462323  0.08499544036268367 -0.2598249443625998 -0.0984836396129008
-106.154303852 -41.352406323  0.13291945009406098 -0.2641573970594195 -0.08730077686420686
-104.254449852 -39.78935132299999  0.18635156186053264 -0.2656428150975274 -0.07561760356439018
-102.35459685200001 -38.226296323  0.24505837589189794 -0.2630463839825283 -0.063783106283634
-100.45474385200001 -36.663241322999994  0.30818700700158347 -0.25476502615588603 -0.05268565382376556
-98.554890852 -35.10018632299999  0.37362339662867833 -0.23872540155585634 -0.043464779808000224
-96.655036852 -33.537131323  0.4371733611796743 -0.21274933390934073 -0.0378663653880735
-94.75518385200002 -31.97407632299999  0.49219082975870493 -0.1754487363930312 -0.037964691060206474
-92.85533085200001 -30.41102032299999  0.5307943675142829 -0.12855048475962955 -0.04519464000421743
-90.955476852 -28.847965322999997  0.546885347522868 -0.07918339171523153 -0.05841925797801417
-89.055623852 -27.28491032299999  0.540409739146994 -0.03963043923162278 -0.07251003613986393
-87.15577085200002 -25.721855323  0.5187296473321151 -0.0232633742426388 -0.07922692098457203
-85.25591685200001 -24.158800322999994  0.49095940339635824 -0.038118783482969924 -0.07069805971623161
-83.356063852 -22.59574532299999  0.4617161051971603 -0.08322396979683884 -0.04285669066402587
-81.456210852 -21.032689323  0.42995863383843647 -0.14762161395093656 0.00150412819460344
-79.556356852 -19.469634322999994  0.3927650562222268 -0.21443596979590726 0.053437853649681455
-77.65650385200001 -17.90657932299999  0.3477506165975886 -0.26789024585299853 0.1020266101542558
-75.756650852 -16.343524322999997  0.2954020811049269 -0.3000398416839288 0.13960979560335302
-73.856796852 -14.780469322999991  0.23869492427104205 -0.31149880410727365 0.16407364446088307
-71.956943852 -13.217414323  0.18085158222308584 -0.3075184766182133 0.17718314256824802
-70.05709085200002 -11.654358322999997  0.12438784904508249 -0.29385589834366155 0.1817175722627177
-68.15723685200001 -10.091303322999991  0.07086413916342209 -0.27522673323734254 0.18037249974956854
-66.257383852 -8.528248323  0.020853366335785342 -0.25461615558165474 0.17503557512317838
-64.357530852 -6.965193322999994  -0.025353286548389507 -0.23386496871414647 0.16699251947263632
-62.457677851999996 -5.402138322999988  -0.06753271433168326 -0.21396910004250494 0.15697477189854275
-60.55782385199999 -3.839083322999997  -0.1055036819677655 -0.19552371546598246 0.14540762803250074
-58.65797085200001 -2.276027322999994  -0.13931444460737044 -0.178695309897378 0.13268841855281352
-56.758117852000005 -0.7129723229999883  -0.16886861716513912 -0.16367237168241858 0.1190668654894737
-118.57459485200002 -109.509838323  -0.15033182783776447 0.10469369134518326
-116.67474085200001 -107.94678332299999  -0.2153203131191476 -0.13848455133297702 0.08975526564633732
-114.774887852 -106.383728323  -0.2323003683663526 -0.12786268298619236 0.0743713549148813
-112.875034852 -104.820673323  -0.24503975743689083 -0.11813829710682829 0.058528288694257115
-110.975180852 -103.25761832299999  -0.25353990948406296 -0.10894369173539546 0.04224459526247087
-109.07532785200002 -101.694563323  -0.2578869222394476 -0.09986937310763057 0.02559770644093554
-107.17547485200001 -100.131507323  -0.25810555940505514 -0.09033886771223767 0.008422060689320221
-105.275621852 -98.568452323  -0.25417722208342586 -0.0799475531366846 -0.00924103937369425
-103.375767852 -97.005397323  -0.24618110243278718 -0.06809632028935753 -0.027585777559035365
-101.47591485200002 -95.44234232299999  -0.23433806657962847 -0.05419612197258792 -0.04658991974784572
-99.57606185200001 -93.879287323  -0.21868363205732405 -0.037639621639045905 -0.06644427651876461
-97.676207852 -92.316232323  -0.1994189575625311 -0.017869959624500716 -0.08723339242743486
-95.776354852 -90.75317632299999  -0.17689307371986743 0.005819137728871103 -0.10894469318254137
-93.87650185200002 -89.190121323  -0.15147038214366604 0.03378475738329484 -0.13159813833312736
-91.97664785200001 -87.627066323  -0.12350435074308697 0.06642328010188346 -0.15518747319978685
-90.076794852 -86.06401132299999  -0.09374379366827829 0.10374007958142789 -0.17928149668990298
-88.176941852 -84.500956323  -0.06312401698327963 0.14539045224258873 -0.20351675964979962
-86.277087852 -82.93790132299999  -0.03267696157893372 0.1907316736633208 -0.22730967469554947
-84.37723485200002 -81.37484532299999  -0.003724123358880162 0.23891891777582486 -0.24979670685258937
-82.47738185200001 -79.811790323  0.022473434465911313 0.288456315876159 -0.2699711810046964
-80.577528852 -78.248735323  0.04454963482975428 0.3375686258176764 -0.28644411691195265
-78.677674852 -76.68568032299999  0.06071219972778477 0.383894238404941 -0.29715669445864257
-76.77782185200002 -75.122625323  0.06851116587909488 0.42458766877229615 -0.2991300721723049
