-177.70296842200003 -103.35770096  0.21985430960731617
-175.62486742200002 -102.04085596  0.2767588823309065 0.2416397895306302 0.12841867195747564
-173.54676642200002 -100.72401096  0.30434813377788594 0.24731421148644978 0.06929626399898817
-171.46866542200002 -99.40716596  0.3305236481243614 0.2350417956681413 0.011926024961497306
-169.390565422 -98.09032096  0.35118657246564977 0.20810116068618043 -0.04150866952468356
-167.312464422 -96.77347596  0.3602880746858027 0.17230597324622965 -0.0884686755027094
-165.234363422 -95.45663096  0.35293354036707486 0.1332313559376691 -0.12704229510527965
-163.156262422 -94.13978596  0.3280847067508797 0.09456340239806385 -0.15714464428116676
-161.078161422 -92.82294096  0.28877462926640485 0.057899464975615815 -0.17988093971304064
-159.00006042200002 -91.50609596000001  0.2401468632860564 0.0235817395453937 -0.1969341324057918
-156.92195942200001 -90.18925096000001  0.18725259592363952 -0.008457485798259445 -0.20964353997359197
-154.843858422 -88.87240596000001  0.13392029225568813 -0.038288688440903405 -0.21918073857494372
-152.765758422 -87.55556096000001  0.08260838212656066 -0.06589146055058451 -0.226216426969824
-150.68765742200003 -86.23871596000001  0.03469106510742497 -0.09121104690681538 -0.23152219372477983
-148.60955642200003 -84.92187096  -0.00919250893783478 -0.11419116297927238 -0.23535216274199255
-146.53145542200002 -83.60502596  -0.04884439802660634 -0.1348142882837541 -0.2381705132864471
-144.45335442200002 -82.28818096  -0.08431240554042085 -0.15311173892175578 -0.24018681614705722
-142.37525342200001 -80.97133596  -0.11576113544347617 -0.16916196916342147 -0.24164101307727218
-140.297152422 -79.65449096  -0.14339776676082763 -0.18307939285303848 -0.2427062567069452
-138.219051422 -78.33764596  -0.16743241870773362 -0.19501672355159302 -0.24351530365204838
-136.140950422 -77.02080096  -0.18805549601306848 -0.2051597888658617 -0.24416794616572457
-134.062850422 -75.70395596  -0.20543386315923504 -0.21371083674229294 -0.24470009751269606
-131.984749422 -74.38711096  -0.2197083816316147 -0.22088943382931667 -0.2452231700282528
-129.90664842200002 -73.07026596  -0.2309941900891045 -0.22690535665409275 -0.245758392490184
-127.82854742200001 -71.75342096  -0.23938176565504607 -0.23195531552749685 -0.24624036601833005
-125.75044642200001 -70.43657596  -0.24494847156505736 -0.23620711922142254 -0.2466917760801
-123.672345422 -69.11973096  -0.24774812970761861 -0.23979065617818957 -0.24709353354713512
-121.594244422 -67.80288596  -0.24781184788541336 -0.2427876891164316 -0.2474233897028731
-119.51614342200001 -66.48604096  -0.2451501370532386 -0.24523275305353223 -0.247656405600747
-117.43804242200001 -65.16919596  -0.2397236511151221 -0.2471087027418393 -0.24776548347078112
-115.35994242200002 -63.85235096  -0.23162594069135556 -0.24836278872231457 -0.24768753666153911
-113.28184142200001 -62.53550596  -0.22072147443882914 -0.24890672834273744 -0.24745813490591187
-111.20374042200001 -61.21866096  -0.20700212236638826 -0.24860517156326964 -0.24703996631700864
-109.125639422 -59.90181596  -0.19040591464215084 -0.2472897484352004 -0.2463203320134063
-107.04753842200002 -58.58497096  -0.17084296328776882 -0.24476198735019222 -0.2452812556744322
-104.96943742200001 -57.268125960000006  -0.14818656224976962 -0.24079995167157167 -0.2438637475529435
-102.89133642200001 -55.951280960000005  -0.12226658602674849 -0.23516291284107144 -0.2419996593404931
-100.813235422 -54.634435960000005  -0.09287233043068367 -0.22761201971857212 -0.23960631933118925
-98.73513442200002 -53.317590960000004  -0.059732311335735734 -0.21791589117816612 -0.2365833242968724
-96.65703442200001 -52.00074596  -0.022708289110780055 -0.205871924093019 -0.2327768786989425
-94.578933422 -50.68390096  0.01852532423748144 -0.1913137870614664 -0.22811896924898717
-92.50083242200002 -49.36705596  0.06405691892559648 -0.1741038887878792 -0.22245588538901603
-90.42273142200001 -48.05021096  0.11380466810598111 -0.15413987462995138 -0.21555137260173338
-88.34463042200001 -46.73336596  0.16730231295730505 -0.13133801944854825 -0.20726137847162385
-86.266529422 -45.41652096  0.22343808729696416 -0.10561822824203526 -0.19739847712744255
-84.18842842200002 -44.099675960000006  0.28012637434491 -0.07690747580960669 -0.1857510381970834
-82.11032742200001 -42.782830960000005  0.3340030085857833 -0.04524035014050124 -0.1720360390051071
-80.03222642200001 -41.465985960000005  0.38036718079431436 -0.011064724023107418 -0.15579908366475398
-77.95412642200002 -40.149140960000004  0.4137679320131921 0.024208161512270912 -0.13627794979880833
-75.87602542200001 -38.832295959999996  0.42955357826766566 0.057692531355562945 -0.11259605736621559
