-183.371725806 -105.926497627  0.10898899913993994
-182.068601806 -103.83976462700001  0.18723568336428378 0.046115530514605256
-180.765476806 -101.75303262700001  0.2106282277694517 -0.017499933952193774
-179.46235280599998 -99.666300627  0.22049469660432744 -0.07853976076358427
-178.159228806 -97.579568627  0.21602693388388028 -0.13366370586981385
-176.856103806 -95.492836627  0.1976148617165978 -0.17978342174367223
-175.552979806 -93.406104627  0.16604800958978277 -0.21415787558499735
-174.249855806 -91.319372627  0.12284128135902761 -0.2342471241177288
-172.946730806 -89.23264062700001  0.07049472850079722 -0.23781681481806646 0.2476877870298287
-171.643606806 -87.145907627  0.011988453255456843 -0.22327881031559388 0.24443568585551195
-170.34048280599998 -85.059175627  -0.04919379830321217 -0.190207467033612 0.23672795465689808
-169.037357806 -82.972443627  -0.10909133854715973 -0.13916158354583685 0.2249261334817739
-167.734233806 -80.885711627  -0.16269370056313445 -0.07337575779542171 0.20987062965633765
-166.431108806 -78.79897962700001  -0.20466536716117076 0.0010690889370982759 0.19286947578465283
-165.127984806 -76.71224762700001  -0.23277565426204952 0.0775074239234688 0.1757202259689094
-163.824860806 -74.625515627  -0.24686322600481858 0.14912368636746576 0.16017461538275818
-162.52173580599998 -72.538783627  -0.24753384534743378 0.2104172820133133 0.1477031370279694
-161.21861180599998 -70.452050627  -0.23575508553425795 0.2577294907072041 0.13946645449271575
-159.915487806 -68.36531862700001  -0.2122598463551808 0.2895106801200009 0.13585391699970226
-158.612362806 -66.27858662700001  -0.1780513543754296 0.3052817074175054 0.1368149055340483
-157.309238806 -64.191854627  -0.13499451044961083 0.3049256691084394 0.14215434715523442
-156.006114806 -62.10512262700001  -0.08536438549476899 0.28857098841545914 0.15135876792031916
-154.702989806 -60.018390627  -0.03230806915897629 0.256740005872369 0.16386029077471728
-153.399865806 -57.931658627000004  0.020583406960155183 0.21092138571979271 0.17901295303046988
-152.09674180599998 -55.84492662700001  0.07061642851010795 0.15431026529373143 0.19573646018424082
-150.793616806 -53.758194627  0.11629742867148095 0.09153492312404388 0.21243705024797732
-149.490492806 -51.671461627000006  0.15522399791713543 0.026594016315512187 0.2281207614236033
-148.187367806 -49.584729627  0.1843004041224006 -0.037118428480860464 0.24243191454047963
-146.884243806 -47.497997627000004  0.20105261991211185 -0.09607172761119995 0.2552639570313846
-145.581119806 -45.411265627000006  0.20422565127389422 -0.1471211378070948 0.2663576335917567
-144.27799480599998 -43.324533627  0.19378699065665342 -0.18766460251804024 0.27545198825615236
-142.97487080599998 -41.23780162700001  0.17027197161496385 -0.21542491431330238 0.28222533996552
-141.671746806 -39.151069627  0.13499146232397805 -0.2285534949681971 0.2860357171799107
-140.368621806 -37.064337627  0.09013524491061506 -0.2252553647291575 0.286056201797959
-139.065497806 -34.977604627000005  0.038245019202867964 -0.20428246955076446 0.2817313475820099
-137.762373806 -32.89087262700001  -0.0177463785827593 -0.1655528037985042 0.2729394035019429
-136.459248806 -30.80414062700001  -0.07466201329436514 -0.11012711591480735 0.2600101816642441
