-183.371725806 -105.926497627  0.1086863800794022
-182.068601806 -103.83976462700001  0.18938332280324457 0.04412711294957498
-180.765476806 -101.75303262700001  0.21357835720993412 -0.020797980654244642
-179.46235280599998 -99.666300627  0.22368121469500582 -0.08256095596224491
-178.159228806 -97.579568627  0.21889090487879348 -0.1377279233116689
-176.856103806 -95.492836627  0.1997438250686682 -0.18325226219041557
-175.552979806 -93.406104627  0.16723104430340135 -0.2165236164154299
-174.249855806 -91.319372627  0.12311005988917009 -0.23523355830993656
-172.946730806 -89.23264062700001  0.07010215558238655 -0.2375012699237112 0.24700765505006048
-171.643606806 -87.145907627  0.011259581884246611 -0.22216175766468854 0.24202548291481268
-170.34048280599998 -85.059175627  -0.049967038262462606 -0.18903223833613342 0.232873401426038
-169.037357806 -82.972443627  -0.10952777472041222 -0.1386959287972553 0.22020241779423877
-167.734233806 -80.885711627  -0.16259191659313058 -0.0741039970281347 0.20502326686167596
-166.431108806 -78.79897962700001  -0.2041945234962898 -0.0007542484961296127 0.18858779003114137
-165.127984806 -76.71224762700001  -0.23233844118630737 0.07529131911804572 0.17244207590291796
-163.824860806 -74.625515627  -0.2468151721491388 0.1475044880438705 0.15802482878310642
-162.52173580599998 -72.538783627  -0.24807214417983567 0.21020001122343837 0.146577345671146
-161.21861180599998 -70.452050627  -0.2369750636558461 0.2592698377790131 0.13914893779552823
-159.915487806 -68.36531862700001  -0.21417981950666212 0.2927162784748015 0.13612374876328273
-158.612362806 -66.27858662700001  -0.18062513089922 0.30973633855947724 0.1374959827333342
-157.309238806 -64.191854627  -0.13808221248815306 0.31002839638349394 0.14313390659810168
-156.006114806 -62.10512262700001  -0.08868186078965695 0.29363868915435765 0.15259473052665923
-154.702989806 -60.018390627  -0.035424908272785396 0.261065402804015 0.1653843758743206
-153.399865806 -57.931658627000004  0.018124705251523144 0.21387012824788254 0.18092287395611512
-152.09674180599998 -55.84492662700001  0.06916901699374055 0.15547937452633687 0.1981440567137562
-150.793616806 -53.758194627  0.116101681273657 0.09087226293310548 0.21538483283226947
-149.490492806 -51.671461627000006  0.15633753548701118 0.02436501613479791 0.23158549133986508
-148.187367806 -49.584729627  0.18650340056521073 -0.04042776697370771 0.24636492393943296
-146.884243806 -47.497997627000004  0.20391408327226185 -0.09985853433008103 0.25956639024804495
-145.581119806 -45.411265627000006  0.20724512385308058 -0.1507966499413183 0.2708500291326408
-144.27799480599998 -43.324533627  0.19654059286395506 -0.19074646597061243 0.27986323164027094
-142.97487080599998 -41.23780162700001  0.1724859349890477 -0.21757443518498032 0.2862002304302372
